tick,arrived_this_tick,departed_this_tick,in_restaurant_count,total_queue_count,empty_seat_rate,service_speed_per_min,avg_eating_time
0,5,0,5,1,0.991667,50.0,17.75
1,10,0,15,5,0.979167,45.011,17.0
2,4,0,19,4,0.96875,45.011,16.733
3,4,0,23,1,0.954167,46.012,17.045
4,4,0,27,1,0.945833,46.296,16.923
5,3,0,30,1,0.939583,46.154,16.966
6,9,0,39,3,0.925,47.244,16.694
7,4,0,43,3,0.916667,46.083,16.725
8,4,0,47,2,0.90625,45.489,16.511
9,8,0,55,4,0.89375,45.42,16.49
10,4,0,59,3,0.883333,44.81,16.75
11,10,1,68,8,0.875,44.15,16.967
12,9,0,77,10,0.860417,44.51,16.912
13,5,1,81,8,0.847917,45.147,17.04
14,8,1,88,9,0.835417,45.697,17.122
15,7,0,95,11,0.825,45.386,17.069
16,8,2,101,12,0.814583,45.593,16.904
17,9,3,107,16,0.810417,45.317,16.687
18,9,2,114,19,0.802083,45.215,16.6
19,2,11,105,17,0.816667,44.313,16.578
20,2,7,100,12,0.816667,44.709,16.534
21,5,2,103,11,0.808333,44.81,16.484
22,5,5,103,9,0.804167,45.079,16.411
23,8,7,104,9,0.802083,45.662,16.606
24,7,3,108,11,0.797917,45.317,16.535
25,8,6,110,13,0.797917,45.455,16.527
26,11,4,117,17,0.791667,45.662,16.394
27,8,4,121,19,0.7875,45.697,16.304
28,10,6,125,24,0.789583,45.455,16.229
29,11,4,132,31,0.789583,45.011,16.194
30,7,6,133,31,0.7875,45.079,16.147
31,8,6,135,34,0.789583,44.944,16.17
32,8,9,134,34,0.791667,45.249,16.105
33,8,5,137,35,0.7875,45.524,16.107
34,7,6,138,36,0.7875,45.558,16.084
35,10,6,142,41,0.789583,45.215,16.014
36,6,7,141,41,0.791667,45.147,15.916
37,7,10,138,41,0.797917,45.455,15.896
38,12,8,142,48,0.804167,45.351,15.965
39,8,8,142,48,0.804167,45.593,15.923
40,11,6,147,55,0.808333,45.386,15.95
41,9,9,147,56,0.810417,45.558,15.874
42,7,6,148,57,0.810417,45.489,15.869
43,7,5,150,58,0.808333,45.489,15.86
44,7,5,152,58,0.804167,45.732,15.838
45,8,6,154,59,0.802083,45.872,15.765
46,10,10,154,62,0.808333,46.012,15.785
47,7,5,156,66,0.8125,45.662,15.762
48,13,8,161,73,0.816667,45.558,15.792
49,9,3,167,74,0.80625,45.767,15.828
50,5,5,167,73,0.804167,45.837,15.821
51,11,2,176,78,0.795833,45.802,15.812
52,11,7,180,86,0.804167,45.455,15.797
53,5,11,174,83,0.810417,45.558,15.793
54,7,2,179,85,0.804167,45.524,15.815
55,7,7,179,85,0.804167,45.593,15.81
56,11,4,186,88,0.795833,45.802,15.814
57,9,10,185,94,0.810417,45.558,15.807
58,14,6,193,101,0.808333,45.558,15.819
59,12,6,199,107,0.808333,45.558,15.803
60,9,9,199,110,0.814583,45.558,15.781
61,10,2,207,113,0.804167,45.662,15.791
62,8,4,211,114,0.797917,45.767,15.821
63,9,6,214,116,0.795833,45.872,15.843
64,14,6,222,122,0.791667,46.048,15.859
65,15,8,229,131,0.795833,46.083,15.871
66,13,4,238,138,0.791667,46.083,15.866
67,15,8,245,148,0.797917,45.977,15.887
68,13,6,252,153,0.79375,46.118,15.906
69,7,5,254,153,0.789583,46.225,15.929
70,10,3,261,157,0.783333,46.225,15.953
71,9,5,265,160,0.78125,46.225,15.984
72,9,6,268,162,0.779167,46.296,15.955
73,14,6,276,172,0.783333,46.118,15.969
74,9,8,277,175,0.7875,46.083,16.009
75,3,8,272,172,0.791667,46.048,15.998
76,10,5,277,175,0.7875,46.118,15.991
77,10,3,284,179,0.78125,46.118,15.996
78,9,9,284,181,0.785417,46.189,16.0
79,11,6,289,187,0.7875,46.118,15.977
80,8,5,292,189,0.785417,46.083,16.006
81,11,7,296,192,0.783333,46.225,15.992
82,16,6,306,204,0.7875,46.083,15.956
83,14,9,311,213,0.795833,45.977,15.966
84,10,8,313,219,0.804167,45.802,15.984
85,16,2,327,229,0.795833,45.767,15.979
86,6,6,327,228,0.79375,45.802,15.966
87,10,4,333,231,0.7875,45.872,15.951
88,9,8,334,234,0.791667,45.837,15.976
89,8,9,333,237,0.8,45.767,15.952
